Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-1,2976","0,11003","0,0092789",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-6,294E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/base_link.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/base_link.STL,,monatage v3.step-1/Modulo NEKE.step-10,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
barra1,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,7213E-22","-2,5526E-23","3,6754E-06","-2,3507E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra1.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra1.STL,,monatage v3.step-1/Barra.step-9,Sistema de coordenadas1,,yaw1,revolute,"-1,241","-0,0064187","0,10789","1,5708",0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
modulo2,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-6,7483E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo2.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo2.STL,,monatage v3.step-1/Modulo NEKE.step-9,Sistema de coordenadas2,,pitch1,revolute,"0,068","0,005","0,005",0,0,0,barra1,0,0,1,0,0,0,0,,,,,,,,
barra2,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,7213E-22","-2,5526E-23","3,6754E-06","-2,3507E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra2.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra2.STL,,monatage v3.step-1/Barra.step-8,Sistema de coordenadas3,,yaw2,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo2,0,1,0,0,0,0,0,,,,,,,,
modulo3,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-2,2502E-22","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo3.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo3.STL,,monatage v3.step-1/Modulo NEKE.step-8,Sistema de coordenadas4,,pitch2,revolute,"0,068","0,005","0,005",0,0,0,barra2,0,0,1,0,0,0,0,,,,,,,,
barra3,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,7213E-22","-2,5849E-23","3,6754E-06","-2,3507E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra3.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra3.STL,,monatage v3.step-1/Barra.step-7,Sistema de coordenadas5,,yaw3,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo3,0,1,0,0,0,0,0,,,,,,,,
modulo4,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-7,0418E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo4.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo4.STL,,monatage v3.step-1/Modulo NEKE.step-7,Sistema de coordenadas6,,pitch3,revolute,"0,068","0,005","0,005",0,0,0,barra3,0,0,1,0,0,0,0,,,,,,,,
barra4,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,7226E-22","-2,5526E-23","3,6754E-06","-2,3507E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra4.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra4.STL,,monatage v3.step-1/Barra.step-6,Sistema de coordenadas7,,yaw4,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo4,0,1,0,0,0,0,0,,,,,,,,
modulo5,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-6,5131E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo5.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo5.STL,,monatage v3.step-1/Modulo NEKE.step-6,Sistema de coordenadas8,,pitch4,revolute,"0,068","0,005","0,005",0,0,0,barra4,0,0,1,0,0,0,0,,,,,,,,
barra5,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,0048E-22","-5,3314E-23","3,6754E-06","-5,8588E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra5.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra5.STL,,monatage v3.step-1/Barra.step-5,Sistema de coordenadas9,,yaw5,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo5,0,1,0,0,0,0,0,,,,,,,,
modulo6,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-8,2183E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo6.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo6.STL,,monatage v3.step-1/Modulo NEKE.step-5,Sistema de coordenadas10,,pitch5,revolute,"0,068","0,005","0,005",0,0,0,barra5,0,0,1,0,0,0,0,,,,,,,,
barra6,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","1,3382E-22","-1,2246E-22","3,6754E-06","2,9644E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra6.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra6.STL,,monatage v3.step-1/Barra.step-4,Sistema de coordenadas11,,yaw6,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo6,0,1,0,0,0,0,0,,,,,,,,
modulo7,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-1,1904E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo7.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo7.STL,,monatage v3.step-1/Modulo NEKE.step-4,Sistema de coordenadas12,,pitch6,revolute,"0,068","0,005","0,005",0,0,0,barra6,0,0,1,0,0,0,0,,,,,,,,
barra7,"0,034","0,005",0,0,0,0,"0,0074345","1,2735E-07","1,4014E-22","-5,7838E-23","3,6754E-06","-4,9553E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra7.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra7.STL,,monatage v3.step-1/Barra.step-3,Sistema de coordenadas13,,yaw7,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo7,0,1,0,0,0,0,0,,,,,,,,
modulo8,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-2,8062E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo8.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo8.STL,,monatage v3.step-1/Modulo NEKE.step-1,Sistema de coordenadas14,,pitch7,revolute,"0,068","0,005","0,005",0,0,0,barra7,0,0,1,0,0,0,0,,,,,,,,
barra8,"0,034","0,005","-8,6736E-19",0,0,0,"0,0074345","1,2735E-07","6,6E-23","1,7287E-23","3,6754E-06","-2,3507E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra8.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra8.STL,,monatage v3.step-1/Barra.step-1,Sistema de coordenadas15,,yaw8,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo8,0,1,0,0,0,0,0,,,,,,,,
modulo9,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","1,187E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo9.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo9.STL,,monatage v3.step-1/Modulo NEKE.step-2,Sistema de coordenadas16,,pitch8,revolute,"0,068","0,005","0,005",0,0,0,barra8,0,0,1,0,0,0,0,,,,,,,,
barra9,"0,034","0,005",0,0,0,0,"0,0074345","1,2735E-07","1,4014E-22","-5,8161E-23","3,6754E-06","-4,9553E-24","3,6754E-06",0,0,0,0,0,0,package://NEKE/meshes/barra9.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/barra9.STL,,monatage v3.step-1/Barra.step-2,Sistema de coordenadas17,,yaw9,revolute,"0,1133","-0,005","-0,005",0,0,0,modulo9,0,1,0,0,0,0,0,,,,,,,,
modulo10,"0,05665","-0,0028602","-0,0021398",0,0,0,"0,3852","0,00028326","2,106E-05","2,106E-05","0,00026846","-7,919E-21","0,00026846",0,0,0,0,0,0,package://NEKE/meshes/modulo10.STL,"0,96471","0,96471","0,95294",1,0,0,0,0,0,0,package://NEKE/meshes/modulo10.STL,,monatage v3.step-1/Modulo NEKE.step-3,Sistema de coordenadas18,,pitch9,revolute,"0,068","0,005","0,005",0,0,0,barra9,0,0,1,0,0,0,0,,,,,,,,
